campaign_id,name,channel,start_date,end_date,budget_usd,impressions
CMP0000,Blue Email 2024,sms,2026-05-28,2025-12-29,221543.95,1592543
CMP0001,SaddleBrown Email 2025,email,2025-03-16,2025-09-14,498559.19,1119353
CMP0002,MidnightBlue SMS 2024,push,2024-11-28,2026-12-14,84700.11,3410813
CMP0003,Maroon Push 2025,sms,2025-05-11,2025-07-22,289191.67,3948483
CMP0004,PeachPuff Email 2024,email,2025-01-22,2025-07-10,68958.35,4221844
CMP0005,LightSkyBlue Push 2025,email,2025-02-04,2026-01-10,72589.99,3093865
CMP0006,LightSteelBlue Banner 2024,sms,2025-12-28,2026-10-20,397881.65,4798694
CMP0007,LightCyan Push 2025,push,2025-04-28,2026-07-04,20191.07,3100046
CMP0008,ForestGreen Push 2024,social,2024-10-05,2026-06-24,20384.86,3971447
CMP0009,DeepPink Email 2025,banner,2024-10-25,2027-03-21,443985.31,2579373
CMP0010,LightSkyBlue Banner 2024,social,2025-05-30,2026-12-28,335513.0,3836780
CMP0011,SpringGreen SMS 2025,banner,2024-06-25,2026-01-25,339495.23,2612476
CMP0012,Crimson Push 2024,social,2026-03-21,2026-08-28,417849.68,1012651
CMP0013,GoldenRod SMS 2025,email,2025-01-23,2025-09-20,350397.71,4464315
CMP0014,Azure Push 2024,push,2024-06-08,2024-11-06,426588.92,2372203
CMP0015,Coral SMS 2025,social,2025-09-04,2027-03-28,205081.78,2226478
CMP0016,Linen SMS 2024,banner,2024-12-15,2026-08-19,62201.07,3397173
CMP0017,Maroon Banner 2025,social,2025-07-14,2024-08-10,88405.69,1224990
CMP0018,LightGoldenRodYellow SMS 2024,social,2024-08-24,2024-10-23,279866.25,1258216
CMP0019,LightSkyBlue SMS 2025,banner,2024-10-02,2024-10-05,214994.68,209863
CMP0020,MediumBlue Push 2024,push,2026-05-11,2025-09-25,446200.89,3140461
CMP0021,DarkBlue Email 2025,sms,2026-03-05,2026-04-30,439083.73,4423003
CMP0022,Blue Email 2024,sms,2025-03-21,2026-01-26,137186.94,4557077
CMP0023,Teal Banner 2025,social,2025-05-21,2025-10-19,106752.89,3019193
CMP0024,DeepPink SMS 2024,sms,2025-01-27,2025-12-16,299987.37,2187665
CMP0025,LawnGreen SMS 2025,email,2026-03-21,2027-01-10,17367.38,1173184
CMP0026,Brown Email 2024,push,2026-02-20,2025-06-04,158209.69,1657086
CMP0027,Crimson Push 2025,sms,2024-11-09,2027-04-07,445500.25,748444
CMP0028,DodgerBlue Push 2024,sms,2025-08-26,2026-07-17,8947.13,2880907
CMP0029,IndianRed Email 2025,push,2025-12-23,2026-12-09,225063.87,4751937
CMP0030,PapayaWhip SMS 2024,social,2026-01-18,2025-02-09,373316.98,2960889
CMP0031,LawnGreen Push 2025,banner,2024-07-27,2026-12-29,330953.89,3568616
CMP0032,HotPink SMS 2024,social,2025-01-12,2026-09-24,383711.47,4109340
CMP0033,Khaki Banner 2025,banner,2026-03-22,2025-01-29,204248.49,432544
CMP0034,Indigo Banner 2024,sms,2026-03-14,2027-02-21,120639.92,3824934
CMP0035,PaleTurquoise SMS 2025,social,2025-03-13,2025-12-27,237412.26,3094770
CMP0036,Sienna SMS 2024,email,2024-06-28,2024-08-07,186417.47,3972524
CMP0037,AntiqueWhite Banner 2025,email,2025-11-20,2025-04-22,368341.69,4235820
CMP0038,SlateBlue Banner 2024,social,2025-11-15,2027-03-09,200800.17,4409293
CMP0039,Red Push 2025,sms,2026-03-13,2025-03-24,213098.98,853579
CMP0040,Gray Banner 2024,banner,2024-08-20,2024-11-13,432000.52,1563701
CMP0041,Chartreuse SMS 2025,push,2024-10-26,2026-05-06,465877.09,4864435
CMP0042,LightGray Banner 2024,email,2024-09-03,2027-03-05,369391.82,392072
CMP0043,Lime Push 2025,banner,2025-10-11,2026-01-05,256552.35,4555076
CMP0044,BlueViolet SMS 2024,social,2026-02-01,2024-06-23,185644.53,566709
CMP0045,Blue Banner 2025,social,2026-06-03,2027-06-07,88031.92,3643752
CMP0046,PeachPuff Banner 2024,push,2026-01-13,2027-02-18,369715.85,1830803
CMP0047,SkyBlue Push 2025,email,2026-02-24,2025-08-07,477220.73,4976504
CMP0048,YellowGreen SMS 2024,push,2025-07-28,2026-10-29,486881.4,677467
CMP0049,PaleGreen Banner 2025,email,2025-06-07,2025-06-20,345210.0,1753979
CMP0050,MediumVioletRed Email 2024,social,2026-04-19,2025-03-06,397071.06,1105631
CMP0051,PaleVioletRed SMS 2025,social,2025-05-17,2025-05-14,264409.02,1471911
CMP0052,DarkGoldenRod Email 2024,sms,2025-01-12,2025-12-05,484987.47,28391
CMP0053,Olive Banner 2025,banner,2026-01-25,2027-01-07,207781.86,3780919
CMP0054,Blue Email 2024,sms,2025-11-29,2026-06-02,12795.7,2161862
CMP0055,LightBlue Email 2025,push,2026-05-03,2026-01-22,344566.59,1474839
CMP0056,MediumOrchid Email 2024,email,2025-11-04,2024-09-07,204335.98,4400882
CMP0057,Cyan SMS 2025,email,2024-07-15,2027-06-02,462247.22,3708474
CMP0058,DarkOrange Push 2024,email,2026-02-03,2025-05-08,169886.06,4346748
CMP0059,Tomato Email 2025,sms,2024-10-21,2025-05-10,350744.08,3318293
CMP0060,Sienna Email 2024,social,2024-06-29,2025-02-05,354641.07,4796606
CMP0061,Lavender SMS 2025,email,2025-05-24,2025-09-12,74517.83,1783392
CMP0062,SkyBlue SMS 2024,push,2024-07-21,2025-04-28,247091.8,3644773
CMP0063,Navy Banner 2025,push,2024-10-12,2024-09-10,405519.66,4962928
CMP0064,Red Banner 2024,social,2025-08-21,2027-04-12,441478.71,4094926
CMP0065,BlanchedAlmond Email 2025,social,2024-07-19,2026-09-19,79360.51,1981673
CMP0066,LightSalmon SMS 2024,social,2024-09-03,2026-08-14,177286.34,761883
CMP0067,SlateBlue Banner 2025,banner,2025-07-04,2026-09-17,292530.67,2796875
CMP0068,LightGray Push 2024,banner,2024-06-25,2025-04-11,130083.35,971028
CMP0069,DarkGreen Email 2025,email,2026-02-23,2027-05-16,233698.4,91126
CMP0070,FloralWhite SMS 2024,banner,2026-01-08,2024-08-03,426554.39,1403351
CMP0071,MistyRose Push 2025,banner,2026-05-15,2026-09-21,406361.73,4130921
CMP0072,DarkCyan SMS 2024,push,2025-11-26,2026-05-30,241258.82,4905216
CMP0073,MistyRose Push 2025,push,2024-11-23,2026-10-22,419013.75,3737863
CMP0074,DarkSlateBlue Email 2024,sms,2026-05-05,2025-07-19,156420.93,2991870
CMP0075,MediumSpringGreen Email 2025,push,2025-04-25,2024-11-02,209018.88,4250297
CMP0076,Maroon SMS 2024,social,2024-08-25,2026-10-25,153396.39,248814
CMP0077,Purple Push 2025,banner,2026-04-02,2024-10-29,42875.78,1515028
CMP0078,PeachPuff SMS 2024,banner,2025-07-29,2024-11-12,394377.66,4032308
CMP0079,Lime Email 2025,social,2024-07-20,2025-09-10,52481.89,3641268
CMP0080,DarkKhaki SMS 2024,email,2026-03-13,2024-09-11,219099.55,2903585
CMP0081,Linen Push 2025,email,2025-08-04,2025-04-25,480842.59,4977827
CMP0082,DimGray Email 2024,banner,2024-08-17,2025-08-17,89048.23,2599499
CMP0083,Tan Email 2025,push,2024-08-29,2025-09-04,120661.88,3243215
CMP0084,Moccasin Push 2024,email,2025-02-12,2025-05-31,495254.75,4080539
CMP0085,SlateBlue SMS 2025,banner,2026-03-08,2024-11-17,52167.17,3747086
CMP0086,Azure Email 2024,email,2024-09-20,2026-01-30,228724.29,522723
CMP0087,DarkOliveGreen SMS 2025,push,2026-01-28,2025-05-21,450991.15,4866860
CMP0088,PeachPuff Push 2024,sms,2026-04-16,2025-11-10,301317.41,2930586
CMP0089,PapayaWhip SMS 2025,push,2026-04-17,2027-05-09,219860.75,2528533
CMP0090,MediumSlateBlue Email 2024,email,2026-04-07,2027-01-21,485129.71,213888
CMP0091,DarkGray Push 2025,email,2025-03-12,2026-09-17,53582.47,2500327
CMP0092,FloralWhite Banner 2024,email,2025-01-18,2025-03-05,80527.78,2252487
CMP0093,OrangeRed Banner 2025,sms,2024-12-06,2026-06-14,119522.0,2261364
CMP0094,MistyRose Email 2024,social,2024-12-31,2025-10-21,163342.99,743160
CMP0095,Crimson Banner 2025,sms,2025-03-07,2025-08-13,189160.19,3236101
CMP0096,DarkGreen SMS 2024,banner,2025-12-18,2026-07-27,429068.23,2183265
CMP0097,ForestGreen Banner 2025,banner,2025-09-19,2024-12-30,348153.44,844562
CMP0098,Tomato Push 2024,push,2025-09-26,2027-03-09,138655.17,294010
CMP0099,Purple Email 2025,email,2025-05-17,2025-06-04,475294.98,3497193
CMP0100,Bisque Email 2024,sms,2025-09-24,2024-10-28,302571.38,4880769
CMP0101,Ivory Banner 2025,sms,2024-12-18,2027-01-01,463690.93,3819814
CMP0102,OrangeRed Push 2024,banner,2026-05-07,2026-04-03,278461.03,3124029
CMP0103,Wheat Email 2025,push,2024-06-25,2024-08-25,423250.13,1129029
CMP0104,Maroon Banner 2024,banner,2024-10-05,2027-04-01,340624.97,4513087
CMP0105,DarkSlateGray Email 2025,email,2026-06-03,2025-03-07,59174.93,3770065
CMP0106,HotPink Email 2024,email,2024-11-20,2026-08-01,318007.51,4650436
CMP0107,Chocolate Banner 2025,sms,2026-06-03,2025-09-01,179476.5,2489252
CMP0108,LightCoral Banner 2024,email,2024-08-23,2025-10-03,240721.85,2498592
CMP0109,AntiqueWhite SMS 2025,social,2025-03-16,2026-10-01,232115.96,2275122
CMP0110,CadetBlue Email 2024,sms,2026-01-01,2026-02-18,441101.04,806469
CMP0111,SpringGreen Email 2025,push,2026-02-04,2025-01-29,70641.65,1899304
CMP0112,Snow SMS 2024,banner,2024-12-04,2026-02-25,162160.85,1558518
CMP0113,AntiqueWhite Push 2025,banner,2025-08-27,2027-03-21,145530.49,1101611
CMP0114,Peru Email 2024,push,2025-04-28,2025-12-31,443855.25,4283897
CMP0115,GoldenRod Banner 2025,social,2025-11-23,2026-03-22,438810.94,4634615
CMP0116,LightYellow Banner 2024,sms,2024-07-15,2027-01-17,9799.42,4242139
CMP0117,Plum Email 2025,banner,2025-03-15,2027-04-05,451114.32,1477143
CMP0118,PaleVioletRed Email 2024,banner,2025-03-24,2026-07-02,147635.03,1192137
CMP0119,AliceBlue SMS 2025,push,2026-02-01,2024-12-30,10763.64,784445
CMP0120,DimGray Push 2024,push,2025-12-06,2026-11-11,387303.33,1150603
CMP0121,LightYellow Email 2025,social,2026-04-11,2024-12-15,442343.05,2721499
CMP0122,Olive Push 2024,email,2024-09-20,2025-06-05,274124.09,3646144
CMP0123,BlueViolet Push 2025,banner,2026-04-10,2026-07-10,236698.42,4189853
CMP0124,MidnightBlue Banner 2024,social,2024-10-09,2027-05-06,453798.61,1437432
CMP0125,DarkGoldenRod Push 2025,sms,2024-07-14,2025-11-29,146757.02,1294769
CMP0126,Beige Email 2024,sms,2024-10-05,2026-02-06,352198.81,2431414
CMP0127,WhiteSmoke Email 2025,sms,2024-12-22,2024-06-30,381731.06,729042
CMP0128,BurlyWood Banner 2024,email,2025-04-30,2025-03-10,496692.45,4261426
CMP0129,ForestGreen Banner 2025,push,2024-10-07,2024-12-11,324640.33,476126
CMP0130,RosyBrown Banner 2024,email,2024-12-21,2026-11-05,328351.35,15608
CMP0131,PapayaWhip SMS 2025,banner,2024-12-10,2027-02-05,98480.66,382648
CMP0132,FireBrick Banner 2024,push,2025-03-21,2024-08-09,27284.13,4608111
CMP0133,MediumSeaGreen Banner 2025,email,2024-06-11,2024-09-08,130400.16,1445611
CMP0134,MediumAquaMarine Email 2024,push,2025-11-12,2025-11-24,338555.72,94404
CMP0135,GreenYellow Push 2025,social,2026-06-01,2026-08-27,255750.1,4162219
CMP0136,LightSeaGreen Email 2024,social,2026-03-07,2024-10-09,249028.35,1100817
CMP0137,LightPink Push 2025,email,2024-08-31,2026-06-25,406374.81,2570837
CMP0138,MediumOrchid Banner 2024,push,2026-03-31,2026-01-22,411675.2,3033882
CMP0139,GoldenRod Email 2025,push,2025-08-07,2026-06-30,141852.19,4893823
CMP0140,LawnGreen Email 2024,email,2026-06-01,2027-04-02,97348.48,4542339
CMP0141,PeachPuff Push 2025,push,2024-08-27,2026-04-11,141137.56,2013804
CMP0142,MediumOrchid Push 2024,sms,2026-06-08,2026-03-23,248883.04,622183
CMP0143,Linen Email 2025,social,2025-08-18,2026-01-02,400083.33,2795361
CMP0144,SandyBrown Banner 2024,sms,2024-07-31,2027-03-31,254782.33,1484927
CMP0145,Aqua SMS 2025,push,2024-09-29,2024-12-03,341450.26,613505
CMP0146,Ivory Banner 2024,social,2025-09-17,2026-08-11,433635.87,3195014
CMP0147,SteelBlue Email 2025,email,2024-08-26,2024-12-30,29682.52,2152142
CMP0148,LightCoral Push 2024,social,2025-02-25,2025-04-28,42971.36,2835410
CMP0149,BlueViolet Email 2025,sms,2025-11-21,2026-06-17,52142.25,2031102
CMP0150,OliveDrab Push 2024,social,2024-12-30,2026-06-27,430105.8,4136754
CMP0151,Brown Banner 2025,social,2025-07-05,2025-10-10,354423.8,185396
CMP0152,LightSkyBlue Push 2024,social,2025-05-31,2025-07-23,122466.0,4412607
CMP0153,FloralWhite SMS 2025,email,2026-01-12,2025-09-03,347704.17,1872586
CMP0154,SaddleBrown Banner 2024,social,2025-04-05,2026-08-11,369754.28,4764639
CMP0155,YellowGreen Push 2025,push,2025-06-27,2026-06-03,83827.72,669117
CMP0156,DarkOrange SMS 2024,social,2025-06-16,2026-11-27,237896.08,1848309
CMP0157,Purple Email 2025,social,2025-11-18,2025-07-03,340779.15,1092174
CMP0158,SlateBlue Email 2024,email,2025-08-05,2024-10-05,280678.09,1814458
CMP0159,Bisque Push 2025,push,2025-07-14,2024-10-09,443470.8,3425579
CMP0160,GoldenRod Push 2024,banner,2024-12-27,2025-01-24,66554.57,4902957
CMP0161,Green Banner 2025,banner,2024-11-25,2026-04-16,15489.22,4923492
CMP0162,LightPink SMS 2024,banner,2025-09-17,2026-07-14,110063.82,3659811
CMP0163,PapayaWhip Banner 2025,push,2024-07-28,2025-06-14,127883.71,4811475
CMP0164,IndianRed Banner 2024,email,2024-12-25,2027-03-13,358857.5,3648810
CMP0165,Lime Email 2025,sms,2025-11-12,2025-06-02,124364.06,1768668
CMP0166,WhiteSmoke Push 2024,email,2025-12-12,2024-07-25,460411.98,51660
CMP0167,LimeGreen SMS 2025,push,2025-08-01,2026-02-23,79350.81,1531267
CMP0168,GreenYellow SMS 2024,banner,2025-03-27,2026-01-29,392228.56,1859855
CMP0169,Linen Push 2025,sms,2025-03-20,2027-04-18,114586.17,2686615
CMP0170,PaleVioletRed SMS 2024,social,2026-02-20,2026-06-09,395393.44,1015840
CMP0171,DarkRed Push 2025,sms,2026-03-02,2024-07-12,457762.96,1163385
CMP0172,DarkGray SMS 2024,email,2025-12-19,2026-04-17,307410.34,4034963
CMP0173,Pink Push 2025,push,2025-12-10,2025-10-11,276257.02,4412297
CMP0174,Magenta SMS 2024,push,2024-09-07,2025-04-16,163554.52,1491762
CMP0175,DeepPink Push 2025,banner,2025-07-06,2025-03-07,462682.65,3563957
CMP0176,Sienna Push 2024,sms,2026-04-16,2026-11-18,117001.32,2421216
CMP0177,MediumVioletRed SMS 2025,email,2024-07-16,2026-05-20,91399.34,4115462
CMP0178,Linen Banner 2024,sms,2025-06-02,2025-04-06,219841.31,2821330
CMP0179,LightSlateGray SMS 2025,banner,2024-06-18,2024-06-10,381792.19,4623377
CMP0180,PaleGreen Push 2024,email,2025-01-18,2027-01-05,491784.06,3600394
CMP0181,Wheat Push 2025,social,2025-08-18,2027-04-14,463289.68,2831343
CMP0182,LightSlateGray SMS 2024,banner,2024-06-24,2026-01-15,406386.91,1958866
CMP0183,LightGreen SMS 2025,email,2025-12-05,2025-08-05,315433.32,4521208
CMP0184,MidnightBlue Email 2024,sms,2025-08-23,2025-07-11,476608.95,2737701
CMP0185,BurlyWood Banner 2025,push,2025-09-06,2026-12-15,208650.45,1930892
CMP0186,IndianRed SMS 2024,banner,2025-11-22,2024-09-07,151879.33,2331134
CMP0187,OliveDrab Email 2025,push,2025-11-15,2026-09-08,370602.0,1291803
CMP0188,SeaGreen SMS 2024,social,2025-04-20,2027-03-19,443121.64,129486
CMP0189,Tan SMS 2025,push,2026-01-31,2025-12-19,81441.1,2753778
CMP0190,LightCyan Push 2024,sms,2025-07-16,2026-01-21,436973.91,63493
CMP0191,White Push 2025,push,2025-09-04,2025-10-25,296318.78,3909178
CMP0192,PaleGoldenRod Email 2024,push,2025-12-26,2024-08-07,465461.09,1384504
CMP0193,Tan Push 2025,banner,2024-08-24,2027-06-03,271922.63,3519580
CMP0194,Gold Push 2024,push,2024-08-14,2025-05-16,350117.18,4842693
CMP0195,YellowGreen Push 2025,social,2026-04-17,2026-04-28,71942.8,3158216
CMP0196,Gold Push 2024,push,2026-05-30,2024-08-10,451611.13,460675
CMP0197,SlateBlue SMS 2025,push,2024-07-09,2026-07-27,417784.59,4562934
CMP0198,DarkSlateGray Push 2024,email,2024-08-14,2025-08-24,368521.82,1469574
CMP0199,PeachPuff Email 2025,banner,2024-12-21,2024-08-22,171168.9,1355979
