date,from_ccy,to_ccy,rate
2024-01-01,USD,EUR,62.6237
2024-01-01,USD,JPY,195.7986
2024-01-01,USD,GBP,38.4434
2024-01-01,USD,CNY,30.9894
2024-01-01,USD,INR,121.6674
2024-01-02,USD,EUR,74.1715
2024-01-02,USD,JPY,17.8464
2024-01-02,USD,GBP,197.855
2024-01-02,USD,CNY,133.5761
2024-01-02,USD,INR,187.0897
2024-01-03,USD,EUR,113.7693
2024-01-03,USD,JPY,179.6051
2024-01-03,USD,GBP,111.6199
2024-01-03,USD,CNY,5.6026
2024-01-03,USD,INR,161.1495
2024-01-04,USD,EUR,135.5358
2024-01-04,USD,JPY,133.6891
2024-01-04,USD,GBP,162.0928
2024-01-04,USD,CNY,40.0282
2024-01-04,USD,INR,11.3598
2024-01-05,USD,EUR,109.3811
2024-01-05,USD,JPY,107.9302
2024-01-05,USD,GBP,42.8773
2024-01-05,USD,CNY,199.7449
2024-01-05,USD,INR,59.1646
2024-01-06,USD,EUR,100.0161
2024-01-06,USD,JPY,91.8525
2024-01-06,USD,GBP,124.9286
2024-01-06,USD,CNY,10.5343
2024-01-06,USD,INR,195.4095
2024-01-07,USD,EUR,101.4031
2024-01-07,USD,JPY,62.4854
2024-01-07,USD,GBP,80.1481
2024-01-07,USD,CNY,196.1181
2024-01-07,USD,INR,75.7685
2024-01-08,USD,EUR,62.0672
2024-01-08,USD,JPY,112.6206
2024-01-08,USD,GBP,86.5702
2024-01-08,USD,CNY,137.0146
2024-01-08,USD,INR,1.4723
2024-01-09,USD,EUR,193.5671
2024-01-09,USD,JPY,126.9396
2024-01-09,USD,GBP,42.4671
2024-01-09,USD,CNY,81.9907
2024-01-09,USD,INR,32.1744
2024-01-10,USD,EUR,136.6142
2024-01-10,USD,JPY,71.5182
2024-01-10,USD,GBP,145.8909
2024-01-10,USD,CNY,106.1108
2024-01-10,USD,INR,67.4104
2024-01-11,USD,EUR,36.5631
2024-01-11,USD,JPY,157.5324
2024-01-11,USD,GBP,85.7211
2024-01-11,USD,CNY,114.3874
2024-01-11,USD,INR,158.655
2024-01-12,USD,EUR,75.7122
2024-01-12,USD,JPY,113.3303
2024-01-12,USD,GBP,170.1303
2024-01-12,USD,CNY,42.5377
2024-01-12,USD,INR,182.6641
2024-01-13,USD,EUR,28.9793
2024-01-13,USD,JPY,89.8612
2024-01-13,USD,GBP,163.0162
2024-01-13,USD,CNY,97.8244
2024-01-13,USD,INR,126.5854
2024-01-14,USD,EUR,61.1819
2024-01-14,USD,JPY,165.6678
2024-01-14,USD,GBP,82.8675
2024-01-14,USD,CNY,108.2893
2024-01-14,USD,INR,143.664
2024-01-15,USD,EUR,142.4651
2024-01-15,USD,JPY,94.9785
2024-01-15,USD,GBP,11.443
2024-01-15,USD,CNY,136.5638
2024-01-15,USD,INR,93.7712
2024-01-16,USD,EUR,38.8912
2024-01-16,USD,JPY,134.5588
2024-01-16,USD,GBP,48.5722
2024-01-16,USD,CNY,127.7877
2024-01-16,USD,INR,175.1101
2024-01-17,USD,EUR,195.6391
2024-01-17,USD,JPY,83.5294
2024-01-17,USD,GBP,21.5184
2024-01-17,USD,CNY,71.0109
2024-01-17,USD,INR,187.4995
2024-01-18,USD,EUR,60.0033
2024-01-18,USD,JPY,145.9091
2024-01-18,USD,GBP,77.5739
2024-01-18,USD,CNY,109.5958
2024-01-18,USD,INR,196.0739
2024-01-19,USD,EUR,174.0827
2024-01-19,USD,JPY,79.4732
2024-01-19,USD,GBP,100.6796
2024-01-19,USD,CNY,110.005
2024-01-19,USD,INR,151.6714
2024-01-20,USD,EUR,149.3689
2024-01-20,USD,JPY,139.2317
2024-01-20,USD,GBP,191.1679
2024-01-20,USD,CNY,188.558
2024-01-20,USD,INR,123.4067
2024-01-21,USD,EUR,34.2974
2024-01-21,USD,JPY,194.3867
2024-01-21,USD,GBP,121.0121
2024-01-21,USD,CNY,197.0035
2024-01-21,USD,INR,177.954
2024-01-22,USD,EUR,150.9054
2024-01-22,USD,JPY,136.1961
2024-01-22,USD,GBP,159.3647
2024-01-22,USD,CNY,130.1771
2024-01-22,USD,INR,181.861
2024-01-23,USD,EUR,72.3652
2024-01-23,USD,JPY,104.2682
2024-01-23,USD,GBP,85.7352
2024-01-23,USD,CNY,141.6016
2024-01-23,USD,INR,83.709
2024-01-24,USD,EUR,17.7922
2024-01-24,USD,JPY,133.6106
2024-01-24,USD,GBP,54.978
2024-01-24,USD,CNY,170.0938
2024-01-24,USD,INR,195.0159
2024-01-25,USD,EUR,45.9577
2024-01-25,USD,JPY,131.3269
2024-01-25,USD,GBP,173.831
2024-01-25,USD,CNY,109.1204
2024-01-25,USD,INR,109.1189
2024-01-26,USD,EUR,24.7004
2024-01-26,USD,JPY,116.0708
2024-01-26,USD,GBP,38.5275
2024-01-26,USD,CNY,94.0487
2024-01-26,USD,INR,117.3306
2024-01-27,USD,EUR,160.9979
2024-01-27,USD,JPY,129.2576
2024-01-27,USD,GBP,158.1021
2024-01-27,USD,CNY,41.0965
2024-01-27,USD,INR,193.1285
2024-01-28,USD,EUR,120.6923
2024-01-28,USD,JPY,157.1173
2024-01-28,USD,GBP,126.5117
2024-01-28,USD,CNY,122.1793
2024-01-28,USD,INR,161.5071
2024-01-29,USD,EUR,18.6663
2024-01-29,USD,JPY,134.853
2024-01-29,USD,GBP,31.9716
2024-01-29,USD,CNY,186.1108
2024-01-29,USD,INR,6.0467
2024-01-30,USD,EUR,77.4184
2024-01-30,USD,JPY,19.6121
2024-01-30,USD,GBP,152.9942
2024-01-30,USD,CNY,36.4859
2024-01-30,USD,INR,1.6778
2024-01-31,USD,EUR,31.0813
2024-01-31,USD,JPY,116.1981
2024-01-31,USD,GBP,73.0806
2024-01-31,USD,CNY,43.6417
2024-01-31,USD,INR,185.672
2024-02-01,USD,EUR,48.852
2024-02-01,USD,JPY,165.281
2024-02-01,USD,GBP,127.6134
2024-02-01,USD,CNY,137.3038
2024-02-01,USD,INR,135.9384
2024-02-02,USD,EUR,58.5722
2024-02-02,USD,JPY,1.4717
2024-02-02,USD,GBP,110.886
2024-02-02,USD,CNY,16.3701
2024-02-02,USD,INR,97.2643
2024-02-03,USD,EUR,37.1264
2024-02-03,USD,JPY,24.8775
2024-02-03,USD,GBP,119.1635
2024-02-03,USD,CNY,85.5762
2024-02-03,USD,INR,37.8659
2024-02-04,USD,EUR,166.8319
2024-02-04,USD,JPY,36.995
2024-02-04,USD,GBP,69.8629
2024-02-04,USD,CNY,4.1245
2024-02-04,USD,INR,169.7099
2024-02-05,USD,EUR,49.3545
2024-02-05,USD,JPY,132.7858
2024-02-05,USD,GBP,91.5716
2024-02-05,USD,CNY,127.303
2024-02-05,USD,INR,80.0712
2024-02-06,USD,EUR,115.2714
2024-02-06,USD,JPY,138.007
2024-02-06,USD,GBP,2.0566
2024-02-06,USD,CNY,1.6378
2024-02-06,USD,INR,21.4872
2024-02-07,USD,EUR,116.5759
2024-02-07,USD,JPY,199.5381
2024-02-07,USD,GBP,149.8618
2024-02-07,USD,CNY,190.2679
2024-02-07,USD,INR,75.5555
2024-02-08,USD,EUR,68.8794
2024-02-08,USD,JPY,191.9172
2024-02-08,USD,GBP,42.9068
2024-02-08,USD,CNY,151.6732
2024-02-08,USD,INR,187.8327
2024-02-09,USD,EUR,170.0622
2024-02-09,USD,JPY,106.155
2024-02-09,USD,GBP,51.8071
2024-02-09,USD,CNY,44.1343
2024-02-09,USD,INR,172.8417
2024-02-10,USD,EUR,181.9793
2024-02-10,USD,JPY,96.4514
2024-02-10,USD,GBP,74.8572
2024-02-10,USD,CNY,15.0097
2024-02-10,USD,INR,57.2933
2024-02-11,USD,EUR,98.8162
2024-02-11,USD,JPY,87.355
2024-02-11,USD,GBP,23.4962
2024-02-11,USD,CNY,93.3066
2024-02-11,USD,INR,125.458
2024-02-12,USD,EUR,179.6329
2024-02-12,USD,JPY,138.1451
2024-02-12,USD,GBP,90.7131
2024-02-12,USD,CNY,27.1082
2024-02-12,USD,INR,28.556
2024-02-13,USD,EUR,193.4888
2024-02-13,USD,JPY,181.2697
2024-02-13,USD,GBP,168.8313
2024-02-13,USD,CNY,11.1191
2024-02-13,USD,INR,124.8373
2024-02-14,USD,EUR,131.5294
2024-02-14,USD,JPY,146.6888
2024-02-14,USD,GBP,104.1751
2024-02-14,USD,CNY,172.279
2024-02-14,USD,INR,109.2905
2024-02-15,USD,EUR,145.5545
2024-02-15,USD,JPY,56.9649
2024-02-15,USD,GBP,142.8226
2024-02-15,USD,CNY,128.4818
2024-02-15,USD,INR,36.1549
2024-02-16,USD,EUR,41.3766
2024-02-16,USD,JPY,23.0946
2024-02-16,USD,GBP,133.3801
2024-02-16,USD,CNY,3.0175
2024-02-16,USD,INR,75.2442
2024-02-17,USD,EUR,120.2605
2024-02-17,USD,JPY,142.1827
2024-02-17,USD,GBP,36.0007
2024-02-17,USD,CNY,139.7299
2024-02-17,USD,INR,109.5037
2024-02-18,USD,EUR,28.1971
2024-02-18,USD,JPY,147.3375
2024-02-18,USD,GBP,70.3855
2024-02-18,USD,CNY,142.4241
2024-02-18,USD,INR,77.1839
2024-02-19,USD,EUR,72.5087
2024-02-19,USD,JPY,131.2804
2024-02-19,USD,GBP,9.0647
2024-02-19,USD,CNY,33.2231
2024-02-19,USD,INR,44.4384
2024-02-20,USD,EUR,20.1963
2024-02-20,USD,JPY,93.7308
2024-02-20,USD,GBP,69.5913
2024-02-20,USD,CNY,58.3816
2024-02-20,USD,INR,106.0619
2024-02-21,USD,EUR,181.1186
2024-02-21,USD,JPY,43.4135
2024-02-21,USD,GBP,178.1622
2024-02-21,USD,CNY,99.0744
2024-02-21,USD,INR,5.8012
2024-02-22,USD,EUR,149.9853
2024-02-22,USD,JPY,17.1465
2024-02-22,USD,GBP,89.4639
2024-02-22,USD,CNY,22.6079
2024-02-22,USD,INR,160.7393
2024-02-23,USD,EUR,197.4496
2024-02-23,USD,JPY,93.9221
2024-02-23,USD,GBP,165.9526
2024-02-23,USD,CNY,107.635
2024-02-23,USD,INR,147.5025
2024-02-24,USD,EUR,190.6404
2024-02-24,USD,JPY,1.9083
2024-02-24,USD,GBP,64.3118
2024-02-24,USD,CNY,66.952
2024-02-24,USD,INR,101.6866
2024-02-25,USD,EUR,174.9972
2024-02-25,USD,JPY,150.9255
2024-02-25,USD,GBP,86.7459
2024-02-25,USD,CNY,47.1554
2024-02-25,USD,INR,3.6402
2024-02-26,USD,EUR,34.6377
2024-02-26,USD,JPY,123.1509
2024-02-26,USD,GBP,60.1238
2024-02-26,USD,CNY,96.9238
2024-02-26,USD,INR,161.4805
2024-02-27,USD,EUR,188.5927
2024-02-27,USD,JPY,42.1388
2024-02-27,USD,GBP,171.4974
2024-02-27,USD,CNY,56.9412
2024-02-27,USD,INR,134.905
2024-02-28,USD,EUR,72.5223
2024-02-28,USD,JPY,39.8786
2024-02-28,USD,GBP,121.8627
2024-02-28,USD,CNY,56.5619
2024-02-28,USD,INR,15.3148
2024-02-29,USD,EUR,133.1163
2024-02-29,USD,JPY,5.98
2024-02-29,USD,GBP,64.8092
2024-02-29,USD,CNY,64.2859
2024-02-29,USD,INR,105.7597
2024-03-01,USD,EUR,100.6092
2024-03-01,USD,JPY,33.1814
2024-03-01,USD,GBP,58.5971
2024-03-01,USD,CNY,185.8528
2024-03-01,USD,INR,89.5929
2024-03-02,USD,EUR,46.9206
2024-03-02,USD,JPY,99.5664
2024-03-02,USD,GBP,50.4754
2024-03-02,USD,CNY,90.6908
2024-03-02,USD,INR,98.6814
2024-03-03,USD,EUR,146.9004
2024-03-03,USD,JPY,112.0469
2024-03-03,USD,GBP,145.3524
2024-03-03,USD,CNY,199.2396
2024-03-03,USD,INR,130.2571
2024-03-04,USD,EUR,78.8443
2024-03-04,USD,JPY,132.1459
2024-03-04,USD,GBP,166.2402
2024-03-04,USD,CNY,68.2786
2024-03-04,USD,INR,102.2324
2024-03-05,USD,EUR,64.7252
2024-03-05,USD,JPY,143.7183
2024-03-05,USD,GBP,2.0518
2024-03-05,USD,CNY,99.7613
2024-03-05,USD,INR,33.1024
2024-03-06,USD,EUR,33.8161
2024-03-06,USD,JPY,128.4276
2024-03-06,USD,GBP,196.3892
2024-03-06,USD,CNY,48.8537
2024-03-06,USD,INR,145.1543
2024-03-07,USD,EUR,109.9253
2024-03-07,USD,JPY,113.1592
2024-03-07,USD,GBP,24.0021
2024-03-07,USD,CNY,138.0762
2024-03-07,USD,INR,181.6011
2024-03-08,USD,EUR,26.522
2024-03-08,USD,JPY,72.5208
2024-03-08,USD,GBP,18.4532
2024-03-08,USD,CNY,31.9512
2024-03-08,USD,INR,165.3702
2024-03-09,USD,EUR,51.496
2024-03-09,USD,JPY,85.7219
2024-03-09,USD,GBP,39.4917
2024-03-09,USD,CNY,76.9787
2024-03-09,USD,INR,6.6913
2024-03-10,USD,EUR,177.2161
2024-03-10,USD,JPY,119.5093
2024-03-10,USD,GBP,73.0934
2024-03-10,USD,CNY,36.1646
2024-03-10,USD,INR,8.7708
2024-03-11,USD,EUR,63.3022
2024-03-11,USD,JPY,13.6956
2024-03-11,USD,GBP,94.0782
2024-03-11,USD,CNY,142.7948
2024-03-11,USD,INR,54.9964
2024-03-12,USD,EUR,190.2172
2024-03-12,USD,JPY,160.4934
2024-03-12,USD,GBP,143.9435
2024-03-12,USD,CNY,92.4472
2024-03-12,USD,INR,133.8245
2024-03-13,USD,EUR,54.6675
2024-03-13,USD,JPY,70.6529
2024-03-13,USD,GBP,162.4933
2024-03-13,USD,CNY,88.2667
2024-03-13,USD,INR,87.4082
2024-03-14,USD,EUR,102.2879
2024-03-14,USD,JPY,81.405
2024-03-14,USD,GBP,39.4509
2024-03-14,USD,CNY,131.6441
2024-03-14,USD,INR,33.1238
2024-03-15,USD,EUR,191.0877
2024-03-15,USD,JPY,158.7369
2024-03-15,USD,GBP,165.977
2024-03-15,USD,CNY,89.8423
2024-03-15,USD,INR,132.2187
2024-03-16,USD,EUR,5.5353
2024-03-16,USD,JPY,127.1266
2024-03-16,USD,GBP,108.8334
2024-03-16,USD,CNY,16.5099
2024-03-16,USD,INR,49.6673
2024-03-17,USD,EUR,196.5413
2024-03-17,USD,JPY,104.4825
2024-03-17,USD,GBP,115.7211
2024-03-17,USD,CNY,182.8258
2024-03-17,USD,INR,20.4098
2024-03-18,USD,EUR,150.7362
2024-03-18,USD,JPY,168.9809
2024-03-18,USD,GBP,164.2787
2024-03-18,USD,CNY,67.386
2024-03-18,USD,INR,81.6714
2024-03-19,USD,EUR,159.2478
2024-03-19,USD,JPY,80.7224
2024-03-19,USD,GBP,88.0761
2024-03-19,USD,CNY,180.4728
2024-03-19,USD,INR,117.1021
2024-03-20,USD,EUR,67.9964
2024-03-20,USD,JPY,53.9609
2024-03-20,USD,GBP,80.1216
2024-03-20,USD,CNY,6.283
2024-03-20,USD,INR,97.0459
2024-03-21,USD,EUR,113.8647
2024-03-21,USD,JPY,158.1345
2024-03-21,USD,GBP,90.2452
2024-03-21,USD,CNY,61.6315
2024-03-21,USD,INR,15.4827
2024-03-22,USD,EUR,179.9496
2024-03-22,USD,JPY,174.0653
2024-03-22,USD,GBP,93.6069
2024-03-22,USD,CNY,159.8075
2024-03-22,USD,INR,26.2228
2024-03-23,USD,EUR,30.9378
2024-03-23,USD,JPY,41.5243
2024-03-23,USD,GBP,1.3372
2024-03-23,USD,CNY,140.9417
2024-03-23,USD,INR,70.3264
2024-03-24,USD,EUR,46.3856
2024-03-24,USD,JPY,90.6972
2024-03-24,USD,GBP,174.8581
2024-03-24,USD,CNY,88.3654
2024-03-24,USD,INR,131.5951
2024-03-25,USD,EUR,64.8578
2024-03-25,USD,JPY,38.3245
2024-03-25,USD,GBP,30.1793
2024-03-25,USD,CNY,123.6451
2024-03-25,USD,INR,70.986
2024-03-26,USD,EUR,117.8172
2024-03-26,USD,JPY,138.0992
2024-03-26,USD,GBP,106.657
2024-03-26,USD,CNY,105.0648
2024-03-26,USD,INR,111.3479
2024-03-27,USD,EUR,156.8761
2024-03-27,USD,JPY,72.4718
2024-03-27,USD,GBP,100.6552
2024-03-27,USD,CNY,35.343
2024-03-27,USD,INR,91.9866
2024-03-28,USD,EUR,34.6938
2024-03-28,USD,JPY,121.7329
2024-03-28,USD,GBP,189.9472
2024-03-28,USD,CNY,43.3846
2024-03-28,USD,INR,145.0883
2024-03-29,USD,EUR,140.2672
2024-03-29,USD,JPY,178.404
2024-03-29,USD,GBP,125.5897
2024-03-29,USD,CNY,33.1001
2024-03-29,USD,INR,180.2778
2024-03-30,USD,EUR,6.4876
2024-03-30,USD,JPY,163.2077
2024-03-30,USD,GBP,48.9144
2024-03-30,USD,CNY,100.8543
2024-03-30,USD,INR,133.3627
2024-03-31,USD,EUR,39.4919
2024-03-31,USD,JPY,121.4821
2024-03-31,USD,GBP,105.9375
2024-03-31,USD,CNY,153.2753
2024-03-31,USD,INR,57.5933
2024-04-01,USD,EUR,57.5565
2024-04-01,USD,JPY,27.4954
2024-04-01,USD,GBP,91.2551
2024-04-01,USD,CNY,117.3145
2024-04-01,USD,INR,46.8875
2024-04-02,USD,EUR,144.7059
2024-04-02,USD,JPY,78.8833
2024-04-02,USD,GBP,135.5685
2024-04-02,USD,CNY,26.6087
2024-04-02,USD,INR,48.3294
2024-04-03,USD,EUR,15.9494
2024-04-03,USD,JPY,146.742
2024-04-03,USD,GBP,83.5534
2024-04-03,USD,CNY,91.0678
2024-04-03,USD,INR,33.6213
2024-04-04,USD,EUR,194.2574
2024-04-04,USD,JPY,94.9276
2024-04-04,USD,GBP,67.0313
2024-04-04,USD,CNY,196.1346
2024-04-04,USD,INR,45.5367
2024-04-05,USD,EUR,47.3175
2024-04-05,USD,JPY,62.6917
2024-04-05,USD,GBP,1.0931
2024-04-05,USD,CNY,78.3906
2024-04-05,USD,INR,32.0285
2024-04-06,USD,EUR,170.4939
2024-04-06,USD,JPY,82.4968
2024-04-06,USD,GBP,39.2891
2024-04-06,USD,CNY,54.3989
2024-04-06,USD,INR,12.2906
2024-04-07,USD,EUR,52.7297
2024-04-07,USD,JPY,175.5667
2024-04-07,USD,GBP,18.8273
2024-04-07,USD,CNY,79.9723
2024-04-07,USD,INR,39.6509
2024-04-08,USD,EUR,176.5066
2024-04-08,USD,JPY,196.9974
2024-04-08,USD,GBP,35.822
2024-04-08,USD,CNY,174.7965
2024-04-08,USD,INR,42.7502
2024-04-09,USD,EUR,34.6798
2024-04-09,USD,JPY,173.8141
2024-04-09,USD,GBP,111.5426
2024-04-09,USD,CNY,36.7985
2024-04-09,USD,INR,43.8213
2024-04-10,USD,EUR,73.2052
2024-04-10,USD,JPY,6.9148
2024-04-10,USD,GBP,55.5496
2024-04-10,USD,CNY,73.0794
2024-04-10,USD,INR,159.9429
2024-04-11,USD,EUR,23.8801
2024-04-11,USD,JPY,181.5981
2024-04-11,USD,GBP,130.6548
2024-04-11,USD,CNY,61.6433
2024-04-11,USD,INR,54.5436
2024-04-12,USD,EUR,58.4529
2024-04-12,USD,JPY,29.886
2024-04-12,USD,GBP,15.9605
2024-04-12,USD,CNY,93.7041
2024-04-12,USD,INR,53.395
2024-04-13,USD,EUR,115.3848
2024-04-13,USD,JPY,58.959
2024-04-13,USD,GBP,113.742
2024-04-13,USD,CNY,95.8712
2024-04-13,USD,INR,58.1194
2024-04-14,USD,EUR,153.1792
2024-04-14,USD,JPY,16.6701
2024-04-14,USD,GBP,111.0656
2024-04-14,USD,CNY,143.8593
2024-04-14,USD,INR,36.3365
2024-04-15,USD,EUR,125.2793
2024-04-15,USD,JPY,60.4008
2024-04-15,USD,GBP,47.9086
2024-04-15,USD,CNY,22.3773
2024-04-15,USD,INR,73.734
2024-04-16,USD,EUR,32.7033
2024-04-16,USD,JPY,22.6931
2024-04-16,USD,GBP,195.7511
2024-04-16,USD,CNY,81.8701
2024-04-16,USD,INR,150.61
2024-04-17,USD,EUR,128.5154
2024-04-17,USD,JPY,35.1407
2024-04-17,USD,GBP,50.7092
2024-04-17,USD,CNY,77.7853
2024-04-17,USD,INR,36.0177
2024-04-18,USD,EUR,119.4483
2024-04-18,USD,JPY,100.4711
2024-04-18,USD,GBP,88.7108
2024-04-18,USD,CNY,51.0106
2024-04-18,USD,INR,145.8238
2024-04-19,USD,EUR,64.9801
2024-04-19,USD,JPY,130.5369
2024-04-19,USD,GBP,124.5433
2024-04-19,USD,CNY,105.8983
2024-04-19,USD,INR,99.4206
2024-04-20,USD,EUR,153.0524
2024-04-20,USD,JPY,114.1989
2024-04-20,USD,GBP,24.0919
2024-04-20,USD,CNY,48.3532
2024-04-20,USD,INR,0.919
2024-04-21,USD,EUR,93.2112
2024-04-21,USD,JPY,161.9994
2024-04-21,USD,GBP,52.5876
2024-04-21,USD,CNY,196.3237
2024-04-21,USD,INR,130.3574
2024-04-22,USD,EUR,159.489
2024-04-22,USD,JPY,44.4381
2024-04-22,USD,GBP,55.9528
2024-04-22,USD,CNY,176.7469
2024-04-22,USD,INR,35.8957
2024-04-23,USD,EUR,137.6291
2024-04-23,USD,JPY,47.3044
2024-04-23,USD,GBP,68.2511
2024-04-23,USD,CNY,93.3747
2024-04-23,USD,INR,177.7858
2024-04-24,USD,EUR,34.7175
2024-04-24,USD,JPY,65.1942
2024-04-24,USD,GBP,39.7157
2024-04-24,USD,CNY,15.7058
2024-04-24,USD,INR,144.9815
2024-04-25,USD,EUR,18.8121
2024-04-25,USD,JPY,50.5733
2024-04-25,USD,GBP,195.9486
2024-04-25,USD,CNY,180.8658
2024-04-25,USD,INR,48.1031
2024-04-26,USD,EUR,95.941
2024-04-26,USD,JPY,128.1705
2024-04-26,USD,GBP,165.2655
2024-04-26,USD,CNY,77.0936
2024-04-26,USD,INR,34.0142
2024-04-27,USD,EUR,41.5148
2024-04-27,USD,JPY,9.9654
2024-04-27,USD,GBP,163.685
2024-04-27,USD,CNY,14.6668
2024-04-27,USD,INR,54.0959
2024-04-28,USD,EUR,83.4447
2024-04-28,USD,JPY,85.4419
2024-04-28,USD,GBP,147.4081
2024-04-28,USD,CNY,118.2724
2024-04-28,USD,INR,23.2893
2024-04-29,USD,EUR,5.7837
2024-04-29,USD,JPY,161.896
2024-04-29,USD,GBP,119.1891
2024-04-29,USD,CNY,82.9375
2024-04-29,USD,INR,150.1153
2024-04-30,USD,EUR,182.6704
2024-04-30,USD,JPY,121.6236
2024-04-30,USD,GBP,176.2499
2024-04-30,USD,CNY,29.8335
2024-04-30,USD,INR,171.731
2024-05-01,USD,EUR,13.2404
2024-05-01,USD,JPY,182.6159
